sample_no,sample_group,group_label,call_order,egpack,xml,scene,id,speaker_id,speaker_jp,jp,hit_terms,has_ruby_attr,cn_final,review_status,uncertain_for_user
72,battle_comms_command,??/??/??,41,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00040,game_s00001,ウィル,「泣き言ではありません。感想です」,ウィル=>威尔,no,「这不是牢骚，只是感想。」,auto_fixed,
73,battle_comms_command,??/??/??,42,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00041,game_s00009,マクマナス中尉,「ほう、\wこのダリル姐さんに向かって言うじゃないか」,マクマナス中尉=>麦克马纳斯中尉; マクマナス=>麦克马纳斯; ダリル=>达里尔; 中尉=>中尉,no,「哦，\w你敢这么跟达里尔姐说啊」,auto_fixed,
74,battle_comms_command,??/??/??,43,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00042,game_s00001,ウィル,「上官への正しい助言は部下の責務であります、\wマム」,ウィル=>威尔,no,「向上官提出正确建议是部下的职责，长官」,自动修正,
75,battle_comms_command,??/??/??,44,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00043,game_s00005,ダリル,「やれやれ。何を期待してたか知らないがアタシゃ何も変わらん方が安心するね。全ては予想の範疇内、\wなべて世は事もなし、\wってな」,ダリル=>达里尔,no,「哎呀呀。虽然不知道你在期待什么，不过对我来说，什么都不变才更安心。一切都在预料之中，\w天下太平，\w就是这么回事。」,auto_fixed,
76,battle_comms_command,??/??/??,45,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00044,game_s00001,ウィル,「…\w…\w…\w…\w」,ウィル=>威尔,no,「…\w…\w…\w…\w」,auto_fixed,
77,battle_comms_command,??/??/??,46,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00045,game_s00005,ダリル,「しかし、\wオマエの台詞も分からんでもない。最近はお船も網に掛からんが、\wこれっきりで打ち止めとは思いたくないからねえ」,ダリル=>达里尔,no,「不过，\w你说的话我也不是不能理解。最近船也没进网，\w但我可不想认为到这就结束了」,auto_fixed,
78,battle_comms_command,??/??/??,47,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00046,game_s00001,ウィル,「諦めたくないんですよ、\w俺はまだ」,ウィル=>威尔; まだ=>还,no,「我还不想放弃。」,auto_fixed,
79,battle_comms_command,??/??/??,48,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00047,game_s00005,ダリル,「誰も諦めたかないさ。だからこそアタシらはここにいる。でも忘れるんじゃないよ、\w『無事に帰る』のも任務だよ」,ダリル=>达里尔,no,「谁都不想放弃。所以我们才会在这里。但别忘了，\w『平安回去』也是任务」,auto_fixed,
80,battle_comms_command,??/??/??,49,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00048,game_s00001,ウィル,「アイマム。\wもちろんです」,ウィル=>威尔,no,「是，长官。当然」,自动修正,
81,battle_comms_command,??/??/??,50,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00049,,,無事に帰りたいが、\w何かがあって欲しい。,,no,我想平安回去，\w但也希望能发生点什么。,auto_fixed,
82,battle_comms_command,??/??/??,51,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00050,,,もちろん別にトラブルが欲しいってわけじゃない。,トラブル=>麻烦,no,当然，我并不是想要什么麻烦。,auto_fixed,
83,battle_comms_command,??/??/??,52,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00051,,,ただ、\wこの何も無い世界に、\w何かが、\w誰かが――,誰かが=>有人,no,只是，\w在这个什么都没有的世界里，\w有什么，\w有谁――,auto_fixed,
84,battle_comms_command,??/??/??,53,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00052,game_s00001,ウィル,「ＧＰＳ照合完了。マップデータ更新…\w…\w\n精度問題なし。転送します」,ウィル=>威尔; ＧＰＳ=>GPS,no,"「GPS校对完成。地图数据更新…\w…\w
精度没有问题。正在传送」",auto_fixed,
85,battle_comms_command,??/??/??,54,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00053,game_s00005,ダリル,「――更新確認。こちらも異常なしだ」,ダリル=>达里尔,no,「――确认更新。这边也无异常」,auto_fixed,
86,battle_comms_command,??/??/??,55,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00054,game_s00005,ダリル,「地図作成装置ができて随分楽になったモンだ。メルヴィナ様々だ。…\w…\w写真並べてお絵描きするのはもうウンザリだからねえ」,メルヴィナ=>梅尔维娜; ダリル=>达里尔,no,「有了地图制作装置之后轻松多了。真得感谢梅尔维娜啊。…\w…\w我已经受够了把照片排起来画图了」,auto_fixed,
87,battle_comms_command,??/??/??,56,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00055,,,帰投後にマークした座標と光学カメラの記録をつき合わせ、\w延々と海岸線情報を打ち込んでいく――,カメラ=>摄像机,no,返航后，将标记的坐标和光学摄像机记录进行比对，\w没完没了地录入海岸线信息――,auto_fixed,
88,battle_comms_command,??/??/??,57,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00056,,,あれは苦痛以外の何物でもなかったな。,,no,那简直只有痛苦可言。,auto_fixed,
89,battle_comms_command,??/??/??,58,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00057,game_s00001,ウィル,「メルは凄い奴ですよ。あり合わせで色々組み上げるのがホント上手い」,ウィル=>威尔,no,「梅尔很厉害。她真的很擅长用手边材料组装各种东西」,auto_fixed,
90,battle_comms_command,??/??/??,59,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00058,game_s00001,ウィル,「数字に強いってのはインド系の血の為せる業ってやつですかね」,ウィル=>威尔; インド=>印度,no,「擅长数字是印度裔血统带来的本事吗？」,auto_fixed,
91,battle_comms_command,??/??/??,60,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00059,game_s00005,ダリル,「そこは関係ないだろう…\w…\wと言うべきトコだが、\wあり得ん話でもないな。…\w…\w少なくとも、\wそう思わせるように振る舞ってる」,ダリル=>达里尔,no,「这点应该没关系…\w…\w本该这么说，不过，\w也不是完全不可能。…\w…\w至少，\w她表现得像是会让人这么想」,auto_fixed,
92,battle_comms_command,??/??/??,61,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00060,game_s00005,ダリル,「オージーとインドも複雑だしねえ…\w…\w。そう見られた方が彼女にとって得なんだろうよ」,ダリル=>达里尔; インド=>印度,no,「澳洲人和印度人之间也复杂得很呢…\w…\w。被那样看待，对她来说反而有利吧」,auto_fixed,
93,battle_comms_command,??/??/??,62,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00061,game_s00001,ウィル,「…\w…\w…\w…\w」,ウィル=>威尔,no,「…\w…\w…\w…\w」,auto_fixed,
94,battle_comms_command,??/??/??,63,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00062,,,インドからの難民を大量に受け入れた\nオーストラリアだが、\wその扱いは\n俺たち米国と似たようなもんだ。,オーストラリア=>澳大利亚; インド=>印度; 米国=>美国,no,虽然澳大利亚接收了大量来自印度的难民\n但其待遇\w\n和我们美国也差不多。,auto_fixed,
95,battle_comms_command,??/??/??,64,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00063,,,いや、\w優秀な難民は使いたいが人種差別も根強い、\wというネジれた事情は、\w米国より複雑かもしれない。,かもしれない=>也许; 米国=>美国,no,不，\w想利用优秀难民，却又有根深蒂固的种族歧视，\w这种扭曲的情况，\w也许比美国还复杂。,auto_fixed,
96,battle_comms_command,??/??/??,65,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00064,game_s00005,ダリル,「人間、\w追い詰められると縄張り意識が強くなるっていうか…\w…\w。――んなモン気にしても、\wどうしようもないんだけどねえ、\wもう」,ダリル=>达里尔,no,「人啊，\w被逼到绝境时，领地意识就会变强…\w…\w。――就算在意那种事，\w也无可奈何了啊，\w已经」,auto_fixed,
97,battle_comms_command,??/??/??,66,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00065,game_s00001,ウィル,「…\w…\wそうですね。皮肉な話です」,ウィル=>威尔,no,「…\w…\w是啊。真是讽刺。」,auto_fixed,
98,battle_comms_command,??/??/??,67,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00066,game_s00005,ダリル,「よし、\wそろそろ設置ポイントだ。この地形なら少し内陸に寄せるべきか――ナイヴス２、\w続け」,ナイヴス２=>黑刃2; ナイヴス=>黑刃; ダリル=>达里尔,no,「好，\w差不多到设置点了。这个地形的话应该稍微往内陆靠――黑刃2，\w跟上」,auto_fixed,
99,battle_comms_command,??/??/??,68,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00067,game_s00001,ウィル,「ナイヴス２了解」,ナイヴス２=>黑刃2; ナイヴス=>黑刃; ウィル=>威尔,no,「黑刃2了解」,auto_fixed,
100,battle_comms_command,??/??/??,69,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01.xml,020_UAF_DAY91_01,game_t00068,game_s00005,ダリル,「ＯＫ、\wこの辺りにするぞ」,ダリル=>达里尔,no,「OK，\w就定在这附近。」,auto_fixed,
101,proper_noun_dense,??????,676,030_UAF_DAY93_01.egpack,030_UAF_DAY93_01.xml,030_UAF_DAY93_01,game_t00675,,,誇張ではなく、\wまったくの事実だ…\w…\w。,,no,这不是夸张，\w而是彻头彻尾的事实…\w…\w。,auto_fixed,
102,proper_noun_dense,??????,677,030_UAF_DAY93_01.egpack,030_UAF_DAY93_01.xml,030_UAF_DAY93_01,game_t00676,,,生き延びただけでも、\w英雄になれる――あの大海崩はそれぐらいの大災害だった。,大海崩=>大海崩,no,光是活下来，\w就足以成为英雄――那场大海崩就是如此巨大的灾难。,auto_fixed,
103,proper_noun_dense,??????,678,030_UAF_DAY93_01.egpack,030_UAF_DAY93_01.xml,030_UAF_DAY93_01,game_t00677,game_s00004,オールストン准将,「追って説明するが、\w現在我々は、\w未だ本国との連絡に成功していない。すなわち、\wブルーオーシャン作戦は今なお継続中ということである」,ブルーオーシャン作戦=>蓝海作战; ブルーオーシャン=>蓝海; オールストン准将=>奥尔斯顿准将; 本国=>本国; 准将=>准将,no,「稍后会说明，\w目前我们\w仍未成功与本国取得联系。也就是说，\w蓝海作战现在仍在继续」,auto_fixed,
104,proper_noun_dense,??????,679,030_UAF_DAY93_01.egpack,030_UAF_DAY93_01.xml,030_UAF_DAY93_01,game_t00678,game_s00004,オールストン准将,「この状況下にあって、\w我々は多くの欠員を出しており、\w一人でも多くの人員を欲している」,オールストン准将=>奥尔斯顿准将; 准将=>准将,no,「在这种状况下，\w我们出现了大量缺员，\w需要尽可能多的人手」,auto_fixed,
105,proper_noun_dense,??????,680,030_UAF_DAY93_01.egpack,030_UAF_DAY93_01.xml,030_UAF_DAY93_01,game_t00679,game_s00004,オールストン准将,「よって、\w本国からの指揮系統が回復するまでの間、\wリリア・シェルベリ少尉を本艦海兵隊に編入する」,リリア・シェルベリ=>莉莉娅·谢尔贝里; オールストン准将=>奥尔斯顿准将; リリア・シェル=>莉莉娅·谢尔; シェルベリ=>谢尔贝里; 本艦海兵隊=>本舰海军陆战队; リリア=>莉莉娅; 海兵隊=>海军陆战队; 少尉=>少尉; 本国=>本国; 准将=>准将,no,「因此，\w在本国指挥系统恢复之前，\w将莉莉娅·谢尔贝里少尉编入本舰海军陆战队」,auto_fixed,
106,proper_noun_dense,??????,681,030_UAF_DAY93_01.egpack,030_UAF_DAY93_01.xml,030_UAF_DAY93_01,game_t00680,game_s00004,オールストン准将,「この編入に対し異議がある場合、\w現状況終了後に文書で提出するように。何か問題はあるかね」,オールストン准将=>奥尔斯顿准将; 准将=>准将,no,「如果对本次编入有异议，请在\w当前状况结束后以书面形式提交。有什么问题吗？」,auto_fixed,
107,proper_noun_dense,??????,682,030_UAF_DAY93_01.egpack,030_UAF_DAY93_01.xml,030_UAF_DAY93_01,game_t00681,game_s00011,リリア,「は！　ありません！」,リリア=>莉莉娅,no,「是！　没有！」,auto_fixed,
108,proper_noun_dense,??????,683,030_UAF_DAY93_01.egpack,030_UAF_DAY93_01.xml,030_UAF_DAY93_01,game_t00682,game_s00005,ダリル,「合衆国正規戦術機母艦ジョン・Ｆ・ケネディへようこそ、\wリリア・シェルベリ少尉！」,ジョン・Ｆ・ケネディ=>约翰·F·肯尼迪; リリア・シェルベリ=>莉莉娅·谢尔贝里; リリア・シェル=>莉莉娅·谢尔; シェルベリ=>谢尔贝里; ケネディ=>肯尼迪; リリア=>莉莉娅; ダリル=>达里尔; 合衆国=>合众国; 少尉=>少尉; 母艦=>母舰,no,「欢迎来到合众国正规战术机母舰约翰·F·肯尼迪，\w莉莉娅·谢尔贝里少尉！」,ok,
109,proper_noun_dense,??????,684,030_UAF_DAY93_01.egpack,030_UAF_DAY93_01.xml,030_UAF_DAY93_01,game_t00683,game_s00005,ダリル,「ＪＦＫ乗組員一同、\w貴様を歓迎する！」,ＪＦＫ=>JFK; ダリル=>达里尔,no,「JFK全体官兵，\w欢迎你！」,auto_fixed,
110,proper_noun_dense,??????,685,030_UAF_DAY93_01.egpack,030_UAF_DAY93_01.xml,030_UAF_DAY93_01,game_t00684,game_s00011,リリア,「――は！　リリア・シェルベリ少尉、\w只今を以て着任致します！」,リリア・シェルベリ=>莉莉娅·谢尔贝里; リリア・シェル=>莉莉娅·谢尔; シェルベリ=>谢尔贝里; リリア=>莉莉娅; 少尉=>少尉,no,「――是！　莉莉娅·谢尔贝里少尉，\w即刻起正式到任！」,auto_fixed,
111,proper_noun_dense,??????,686,030_UAF_DAY93_01.egpack,030_UAF_DAY93_01.xml,030_UAF_DAY93_01,game_t00685,game_s00004,オールストン准将,「さて、\w詳細は後ほどマクマナス中尉から説明があるが、\w本艦と同盟各国の艦船、\w乗員が置かれている状況に触れておく」,オールストン准将=>奥尔斯顿准将; マクマナス中尉=>麦克马纳斯中尉; マクマナス=>麦克马纳斯; 中尉=>中尉; 准将=>准将,no,「那么，\w详细情况稍后由麦克马纳斯中尉说明，\w我先谈谈本舰、同盟各国舰船，\w以及乘员所处的状况」,auto_fixed,
112,proper_noun_dense,??????,687,030_UAF_DAY93_01.egpack,030_UAF_DAY93_01.xml,030_UAF_DAY93_01,game_t00686,game_s00004,オールストン准将,「シェルベリ少尉は第２６海兵戦術機甲群だったな。確か、\w在フィリピンの部隊と記憶しているが」,オールストン准将=>奥尔斯顿准将; シェルベリ=>谢尔贝里; フィリピン=>菲律宾; 少尉=>少尉; 部隊=>部队; 准将=>准将,no,「谢尔贝里少尉是第26海军陆战队战术机甲群的吧。我记得，\w是在菲律宾的部队」,auto_fixed,
113,proper_noun_dense,??????,688,030_UAF_DAY93_01.egpack,030_UAF_DAY93_01.xml,030_UAF_DAY93_01,game_t00687,game_s00011,リリア,「はい、\wその通りです」,リリア=>莉莉娅,no,「是，\w正是如此」,auto_fixed,
114,proper_noun_dense,??????,689,030_UAF_DAY93_01.egpack,030_UAF_DAY93_01.xml,030_UAF_DAY93_01,game_t00688,game_s00004,オールストン准将,「ならば、\w第三次作戦用の上陸部隊で間違いはないな？」,オールストン准将=>奥尔斯顿准将; 第三次作戦=>第三次作战; 上陸部隊=>登陆部队; 部隊=>部队; 准将=>准将,no,「那么，\w用于第三次作战的登陆部队，没错吧？」,auto_fixed,
115,proper_noun_dense,??????,690,030_UAF_DAY93_01.egpack,030_UAF_DAY93_01.xml,030_UAF_DAY93_01,game_t00689,game_s00011,リリア,「は」,リリア=>莉莉娅,no,「是。」,auto_fixed,
116,proper_noun_dense,??????,691,030_UAF_DAY93_01.egpack,030_UAF_DAY93_01.xml,030_UAF_DAY93_01,game_t00690,game_s00004,オールストン准将,「よろしい。ならば、\wバビロン作戦について特に説明の必要はないものとして進める」,オールストン准将=>奥尔斯顿准将; バビロン作戦=>巴比伦作战; バビロン=>巴比伦; 准将=>准将,no,「很好。\w那么，关于巴比伦作战，就当作没有特别说明的必要而继续推进。」,auto_fixed,
117,proper_noun_dense,??????,692,030_UAF_DAY93_01.egpack,030_UAF_DAY93_01.xml,030_UAF_DAY93_01,game_t00691,game_s00004,オールストン准将,「本艦…\w…\wＣＶＮ－６７『ジョン・Ｆ・ケネディ』は、\w僚艦の『ニミッツ』と共に母艦打撃群を編成し、\w鉄原ハイヴ攻略部隊として日本海に展開していた」,ジョン・Ｆ・ケネディ=>约翰·F·肯尼迪; オールストン准将=>奥尔斯顿准将; ＣＶＮ－６７=>CVN-67; ケネディ=>肯尼迪; ニミッツ=>尼米兹; 攻略部隊=>攻略部队; ハイヴ=>HIVE; 部隊=>部队; 准将=>准将; 母艦=>母舰,no,「本舰…\w…\w CVN-67『约翰·F·肯尼迪』号，\w与僚舰『尼米兹』共同编成母舰打击群，\w作为铁原HIVE攻略部队部署于日本海」,auto_fixed,
118,proper_noun_dense,??????,693,030_UAF_DAY93_01.egpack,030_UAF_DAY93_01.xml,030_UAF_DAY93_01,game_t00692,game_s00004,オールストン准将,「ブルーオーシャン作戦発動後、\w国連軍ヨコハマ基地に寄港して物資と人員を積載」,ブルーオーシャン作戦=>蓝海作战; ブルーオーシャン=>蓝海; オールストン准将=>奥尔斯顿准将; ヨコハマ=>横滨; 国連軍=>联合国军; 准将=>准将; 国連=>联合国; 基地=>基地; 物資=>物资,no,「蓝海作战发动后，\w停靠联合国军横滨基地，装载物资和人员」,auto_fixed,
119,proper_noun_dense,??????,694,030_UAF_DAY93_01.egpack,030_UAF_DAY93_01.xml,030_UAF_DAY93_01,game_t00693,game_s00004,オールストン准将,「フリゲート艦『ヴァンデグリフト』とハワイを目指したが、\wウェーク島北北東で大海崩に伴う超規模津波に遭遇。直衛艦を失った」,オールストン准将=>奥尔斯顿准将; ハワイ=>夏威夷; 大海崩=>大海崩; 准将=>准将,no,「与护卫舰『范德格里夫特』一同前往夏威夷，但在\w威克岛东北偏北海域遭遇大海崩引发的超大规模海啸，失去了直接护卫舰。」,auto_fixed,
120,proper_noun_dense,??????,695,030_UAF_DAY93_01.egpack,030_UAF_DAY93_01.xml,030_UAF_DAY93_01,game_t00694,game_s00004,オールストン准将,「人員・装備の被害状況のほとんどは、\wこのブルーオーシャン作戦の大津波の際に生じた」,ブルーオーシャン作戦=>蓝海作战; ブルーオーシャン=>蓝海; オールストン准将=>奥尔斯顿准将; 准将=>准将,no,「人员和装备的损失，\w大多是在这次蓝海作战的大海啸中造成的。」,auto_fixed,
121,proper_noun_dense,??????,696,030_UAF_DAY93_01.egpack,030_UAF_DAY93_01.xml,030_UAF_DAY93_01,game_t00695,game_s00004,オールストン准将,「本日時点での本艦乗員数は２１９２名。これは、\w作業可能な軽傷者を含む」,オールストン准将=>奥尔斯顿准将; 准将=>准将,no,「截至今日，本舰乘员数为2192名。这个数字\w包含可作业的轻伤者」,auto_fixed,
122,proper_noun_dense,??????,697,030_UAF_DAY93_01.egpack,030_UAF_DAY93_01.xml,030_UAF_DAY93_01,game_t00696,game_s00004,オールストン准将,「死傷者は約１０００名近い。特に、\w艦橋構造物と格納庫内で作業を行っていた兵員に被害が集中している」,オールストン准将=>奥尔斯顿准将; 准将=>准将,no,「死伤者近1000名。尤其是\w在舰桥结构和格纳库内作业的兵员受害集中。」,auto_fixed,
123,proper_noun_dense,??????,698,030_UAF_DAY93_01.egpack,030_UAF_DAY93_01.xml,030_UAF_DAY93_01,game_t00697,game_s00011,リリア,「…\w…\w…\w…\w！」,リリア=>莉莉娅,no,「…\w…\w…\w…\w！」,auto_fixed,
124,proper_noun_dense,??????,699,030_UAF_DAY93_01.egpack,030_UAF_DAY93_01.xml,030_UAF_DAY93_01,game_t00698,,,母艦経験のないリリアが驚くのも無理もない…\w…\w。,リリア=>莉莉娅; 母艦=>母舰,no,没有母舰经验的莉莉娅会惊讶也不奇怪…\w…\w。,auto_fixed,
125,proper_noun_dense,??????,700,030_UAF_DAY93_01.egpack,030_UAF_DAY93_01.xml,030_UAF_DAY93_01,game_t00699,,,戦術機母艦の人員は、\w元々の母数がでかい。通常の艦に比べ、\w未だ回復に至らない重傷者や死者の数も桁違いになる。,母艦=>母舰,no,战术机母舰的人员，\w原本基数就很大。和普通舰艇相比，\w尚未恢复的重伤者和死者数量也会差一个量级。,auto_fixed,
126,proper_noun_dense,??????,701,030_UAF_DAY93_01.egpack,030_UAF_DAY93_01.xml,030_UAF_DAY93_01,game_t00700,,,俺だって、\w未だに数字を聞くだけで胃が締め付けられるからな…\w…\w。,,no,就连我，\w现在光是听到数字也会胃里发紧…\w…\w。,auto_fixed,
127,proper_noun_dense,??????,702,030_UAF_DAY93_01.egpack,030_UAF_DAY93_01.xml,030_UAF_DAY93_01,game_t00701,game_s00004,オールストン准将,「艦橋構造物の被害は大津波による艦の動揺が原因である」,オールストン准将=>奥尔斯顿准将; 准将=>准将,no,「舰桥结构受损，是大海啸导致舰体摇晃所致」,auto_fixed,
128,proper_noun_dense,??????,703,030_UAF_DAY93_01.egpack,030_UAF_DAY93_01.xml,030_UAF_DAY93_01,game_t00702,game_s00004,オールストン准将,「更に格納庫内においては、\w想定以上の動揺で繋留を外れた機体が格納庫内を数度に渡って激突」,オールストン准将=>奥尔斯顿准将; 准将=>准将,no,「此外，在格纳库内，\w因超出预想的摇晃，脱离系留的机体在格纳库内数次猛烈相撞」,auto_fixed,
129,proper_noun_dense,??????,704,030_UAF_DAY93_01.egpack,030_UAF_DAY93_01.xml,030_UAF_DAY93_01,game_t00703,game_s00004,オールストン准将,「その際、\w多数の兵員が巻き込まれ、\wまたシャッターの損傷後、\w艦内に侵入した海水によって艦外にさらわれた者も少なくない」,オールストン准将=>奥尔斯顿准将; 准将=>准将,no,「当时，\w多数士兵被卷入其中，\w另在闸门受损后，\w因侵入舰内的海水而被冲出舰外者亦不在少数。」,auto_fixed,
130,proper_noun_dense,??????,705,030_UAF_DAY93_01.egpack,030_UAF_DAY93_01.xml,030_UAF_DAY93_01,game_t00704,game_s00004,オールストン准将,「後ほど触れるが、\w現在集結している友軍の状況も似たようなものだ」,オールストン准将=>奥尔斯顿准将; 准将=>准将; 友軍=>友军,no,「稍后还会提到，\w目前集结的友军状况也差不多」,auto_fixed,
131,proper_noun_dense,??????,706,030_UAF_DAY93_01.egpack,030_UAF_DAY93_01.xml,030_UAF_DAY93_01,game_t00705,game_s00005,ダリル,「…\w…\w…\w…\w」,ダリル=>达里尔,no,「…\w…\w…\w…\w」,auto_fixed,
132,proper_noun_dense,??????,707,030_UAF_DAY93_01.egpack,030_UAF_DAY93_01.xml,030_UAF_DAY93_01,game_t00706,game_s00001,ウィル,「…\w…\w…\w…\w」,ウィル=>威尔,no,「…\w…\w…\w…\w」,auto_fixed,
133,proper_noun_dense,??????,708,030_UAF_DAY93_01.egpack,030_UAF_DAY93_01.xml,030_UAF_DAY93_01,game_t00707,game_s00004,オールストン准将,「…\w…\w以後、\w数度の大津波と海図データの急激な変化によって艦の位置を喪失。急速な潮位の変動に対応し切れず、\wこの地に座礁してしまった」,オールストン准将=>奥尔斯顿准将; 准将=>准将,no,「…\w…\w此后，\w数次大海啸和海图数据急剧变化使本舰失去定位。未能应对急速潮位变化，\w最终在此地搁浅」,auto_fixed,
134,proper_noun_dense,??????,709,030_UAF_DAY93_01.egpack,030_UAF_DAY93_01.xml,030_UAF_DAY93_01,game_t00708,game_s00004,オールストン准将,「現在我々は、\w太平洋中央部――ハワイの南西約２２００キロの位置に座礁している」,オールストン准将=>奥尔斯顿准将; ハワイ=>夏威夷; 太平洋=>太平洋; 准将=>准将,no,「目前我们\w搁浅于太平洋中部――夏威夷西南约2200公里的位置」,auto_fixed,
